,DATETIMEDATA,PM25,TEMP,WS,RH,WD,RAIN
277,2024-01-12 13:00:00,15.7,32,0,51,137,0
278,2024-01-12 14:00:00,18.4,32,1,51,143,0
279,2024-01-12 15:00:00,16.5,31,1,55,165,0
280,2024-01-12 16:00:00,18.9,30,1,61,141,0
281,2024-01-12 17:00:00,15.8,29,1,66,141,0
282,2024-01-12 18:00:00,22.6,28,1,70,142,0
283,2024-01-12 19:00:00,26.8,28,1,73,145,0
284,2024-01-12 20:00:00,23.4,28,1,74,119,0
285,2024-01-12 21:00:00,23.8,27,1,74,115,0
286,2024-01-12 22:00:00,22.1,27,1,75,103,0
287,2024-01-12 23:00:00,24.5,27,1,76,96,0
288,2024-01-13 00:00:00,21.0,27,0,77,101,0
289,2024-01-13 01:00:00,19.9,26,1,78,98,0
290,2024-01-13 02:00:00,20.1,26,1,80,96,0
291,2024-01-13 03:00:00,17.0,26,1,80,99,0
292,2024-01-13 04:00:00,19.3,26,1,79,96,0
293,2024-01-13 05:00:00,15.8,26,1,80,96,0
294,2024-01-13 06:00:00,16.9,26,1,78,98,0
295,2024-01-13 07:00:00,16.9,26,1,77,95,0
296,2024-01-13 08:00:00,21.5,28,1,68,116,0
297,2024-01-13 09:00:00,15.5,29,1,63,115,0
298,2024-01-13 10:00:00,19.2,30,1,56,112,0
299,2024-01-13 11:00:00,25.4,31,1,50,144,0
300,2024-01-13 12:00:00,23.4,32,0,47,170,0
301,2024-01-13 13:00:00,21.9,32,0,48,168,0
302,2024-01-13 14:00:00,15.9,32,1,50,156,0
303,2024-01-13 15:00:00,17.7,31,1,55,146,0
304,2024-01-13 16:00:00,22.6,31,1,54,142,0
305,2024-01-13 17:00:00,22.1,30,1,60,144,0
306,2024-01-13 18:00:00,21.2,28,1,67,121,0
307,2024-01-13 19:00:00,24.7,28,1,71,115,0
308,2024-01-13 20:00:00,24.3,27,1,74,113,0
309,2024-01-13 21:00:00,24.8,27,1,75,109,0
310,2024-01-13 22:00:00,27.4,27,1,75,111,0
311,2024-01-13 23:00:00,23.7,26,1,78,108,0
312,2024-01-14 00:00:00,28.3,26,1,79,109,0
313,2024-01-14 01:00:00,23.5,26,1,82,107,0
314,2024-01-14 02:00:00,22.1,25,0,85,107,0
315,2024-01-14 03:00:00,22.7,25,0,85,110,0
316,2024-01-14 04:00:00,28.4,25,0,86,106,0
317,2024-01-14 05:00:00,31.4,25,0,85,106,0
318,2024-01-14 06:00:00,21.4,25,0,86,105,0
319,2024-01-14 07:00:00,29.5,26,1,78,112,0
320,2024-01-14 08:00:00,19.5,28,1,70,129,0
321,2024-01-14 09:00:00,22.3,29,1,65,114,0
322,2024-01-14 10:00:00,21.2,30,1,60,129,0
323,2024-01-14 11:00:00,25.6,31,1,52,140,0
324,2024-01-14 12:00:00,27.9,32,1,48,158,0
325,2024-01-14 13:00:00,24.6,31,1,52,167,0
326,2024-01-14 14:00:00,20.1,31,1,52,191,0
327,2024-01-14 15:00:00,,31,1,51,158,0
328,2024-01-14 16:00:00,,30,1,56,183,0
329,2024-01-14 17:00:00,19.2,29,1,60,153,0
330,2024-01-14 18:00:00,20.1,28,1,63,135,0
331,2024-01-14 19:00:00,22.7,27,1,68,114,0
332,2024-01-14 20:00:00,31.5,27,1,69,118,0
333,2024-01-14 21:00:00,22.8,27,1,70,117,0
334,2024-01-14 22:00:00,19.7,27,1,71,116,0
335,2024-01-14 23:00:00,13.9,27,1,71,117,0
336,2024-01-15 00:00:00,13.7,27,2,74,119,0
337,2024-01-15 01:00:00,15.9,27,1,75,113,0
338,2024-01-15 02:00:00,14.1,26,1,78,106,0
339,2024-01-15 03:00:00,12.7,26,1,79,116,0
340,2024-01-15 04:00:00,13.7,27,1,75,117,0
341,2024-01-15 05:00:00,24.9,27,1,76,117,0
342,2024-01-15 06:00:00,21.3,27,1,78,109,0
343,2024-01-15 07:00:00,18.8,27,1,75,118,0
344,2024-01-15 08:00:00,18.2,28,1,70,114,0
345,2024-01-15 09:00:00,13.6,30,1,62,142,0
346,2024-01-15 10:00:00,15.7,30,1,59,207,0
347,2024-01-15 11:00:00,19.3,31,1,55,219,0
348,2024-01-15 12:00:00,18.5,32,0,54,197,0
349,2024-01-15 13:00:00,14.9,32,1,49,166,0
350,2024-01-15 14:00:00,12.1,32,1,51,172,0
351,2024-01-15 15:00:00,16.8,32,1,50,154,0
352,2024-01-15 16:00:00,16.2,31,1,54,189,0
353,2024-01-15 17:00:00,15.5,30,1,60,143,0
354,2024-01-15 18:00:00,16.2,28,1,68,138,0
355,2024-01-15 19:00:00,11.7,28,1,72,130,0
356,2024-01-15 20:00:00,17.7,28,1,73,133,0
357,2024-01-15 21:00:00,15.1,28,1,73,134,0
358,2024-01-15 22:00:00,20.2,28,1,73,142,0
359,2024-01-15 23:00:00,18.3,28,1,73,123,0
360,2024-01-16 00:00:00,20.1,27,1,77,109,0
361,2024-01-16 01:00:00,19.8,26,1,82,106,0
362,2024-01-16 02:00:00,17.2,26,1,85,107,0
363,2024-01-16 03:00:00,16.1,26,1,88,105,0
364,2024-01-16 04:00:00,19.9,26,1,89,104,0
365,2024-01-16 05:00:00,22.5,26,1,90,104,0
366,2024-01-16 06:00:00,24.7,26,1,87,103,0
367,2024-01-16 07:00:00,19.8,26,1,89,107,0
368,2024-01-16 08:00:00,24.9,28,1,74,140,0
369,2024-01-16 09:00:00,14.0,30,1,68,169,0
370,2024-01-16 10:00:00,27.3,30,1,62,208,0
371,2024-01-16 11:00:00,19.9,31,1,60,216,0
372,2024-01-16 12:00:00,15.4,32,1,58,218,0
373,2024-01-16 13:00:00,12.4,32,1,55,178,0
374,2024-01-16 14:00:00,10.2,31,1,57,148,0
375,2024-01-16 15:00:00,9.1,31,1,61,199,0
376,2024-01-16 16:00:00,11.2,30,1,63,172,0
377,2024-01-16 17:00:00,17.3,29,1,67,152,0
378,2024-01-16 18:00:00,17.9,29,1,71,132,0
379,2024-01-16 19:00:00,19.4,28,1,73,137,0
380,2024-01-16 20:00:00,23.9,28,1,74,121,0
381,2024-01-16 21:00:00,26.9,28,1,75,123,0
382,2024-01-16 22:00:00,23.9,28,1,79,130,0
383,2024-01-16 23:00:00,23.3,27,1,79,127,0
384,2024-01-17 00:00:00,25.9,28,1,76,162,0
385,2024-01-17 01:00:00,23.6,27,1,73,146,0
386,2024-01-17 02:00:00,13.7,27,1,73,134,0
387,2024-01-17 03:00:00,10.7,27,1,73,145,0
388,2024-01-17 04:00:00,12.8,27,1,72,129,0
389,2024-01-17 05:00:00,19.0,27,1,74,108,0
390,2024-01-17 06:00:00,15.6,27,1,79,132,0
391,2024-01-17 07:00:00,12.6,27,1,75,164,0
392,2024-01-17 08:00:00,13.9,28,1,70,176,0
393,2024-01-17 09:00:00,16.4,29,1,69,167,0
394,2024-01-17 10:00:00,16.0,30,1,61,177,0
395,2024-01-17 11:00:00,17.9,31,1,58,190,0
396,2024-01-17 12:00:00,17.7,31,1,57,187,0
397,2024-01-17 13:00:00,11.0,32,1,54,182,0
398,2024-01-17 14:00:00,13.7,32,1,53,192,0
399,2024-01-17 15:00:00,15.5,31,0,56,223,0
400,2024-01-17 16:00:00,19.3,30,1,58,181,0
401,2024-01-17 17:00:00,18.5,29,1,62,158,0
