,DATETIMEDATA,PM25
396,2024-01-17 12:00:00,17.7
397,2024-01-17 13:00:00,11.0
398,2024-01-17 14:00:00,13.7
399,2024-01-17 15:00:00,15.5
400,2024-01-17 16:00:00,19.3
401,2024-01-17 17:00:00,18.5
402,2024-01-17 18:00:00,18.7
403,2024-01-17 19:00:00,20.3
404,2024-01-17 20:00:00,14.2
405,2024-01-17 21:00:00,14.7
406,2024-01-17 22:00:00,16.6
407,2024-01-17 23:00:00,15.4
408,2024-01-18 00:00:00,13.9
409,2024-01-18 01:00:00,11.6
410,2024-01-18 02:00:00,9.9
411,2024-01-18 03:00:00,10.7
412,2024-01-18 04:00:00,14.4
413,2024-01-18 05:00:00,22.5
414,2024-01-18 06:00:00,16.2
415,2024-01-18 07:00:00,12.9
416,2024-01-18 08:00:00,17.3
417,2024-01-18 09:00:00,16.7
418,2024-01-18 10:00:00,14.3
419,2024-01-18 11:00:00,13.7
420,2024-01-18 12:00:00,13.7
421,2024-01-18 13:00:00,13.6
422,2024-01-18 14:00:00,15.9
423,2024-01-18 15:00:00,15.7
424,2024-01-18 16:00:00,17.4
425,2024-01-18 17:00:00,20.5
426,2024-01-18 18:00:00,16.4
427,2024-01-18 19:00:00,18.4
428,2024-01-18 20:00:00,18.2
429,2024-01-18 21:00:00,18.2
430,2024-01-18 22:00:00,18.4
431,2024-01-18 23:00:00,9.6
432,2024-01-19 00:00:00,15.5
433,2024-01-19 01:00:00,15.5
434,2024-01-19 02:00:00,11.2
435,2024-01-19 03:00:00,13.8
436,2024-01-19 04:00:00,17.6
437,2024-01-19 05:00:00,25.0
438,2024-01-19 06:00:00,25.0
439,2024-01-19 07:00:00,18.2
440,2024-01-19 08:00:00,17.3
441,2024-01-19 09:00:00,17.5
442,2024-01-19 10:00:00,21.7
443,2024-01-19 11:00:00,17.6
444,2024-01-19 12:00:00,14.3
445,2024-01-19 13:00:00,13.6
446,2024-01-19 14:00:00,10.2
447,2024-01-19 15:00:00,17.7
448,2024-01-19 16:00:00,16.5
449,2024-01-19 17:00:00,15.7
450,2024-01-19 18:00:00,20.5
451,2024-01-19 19:00:00,18.7
452,2024-01-19 20:00:00,19.2
453,2024-01-19 21:00:00,20.1
454,2024-01-19 22:00:00,20.9
455,2024-01-19 23:00:00,17.3
456,2024-01-20 00:00:00,18.9
457,2024-01-20 01:00:00,11.8
458,2024-01-20 02:00:00,11.6
459,2024-01-20 03:00:00,12.9
460,2024-01-20 04:00:00,26.9
461,2024-01-20 05:00:00,29.1
462,2024-01-20 06:00:00,28.0
463,2024-01-20 07:00:00,31.5
464,2024-01-20 08:00:00,34.4
465,2024-01-20 09:00:00,22.9
466,2024-01-20 10:00:00,21.7
467,2024-01-20 11:00:00,17.1
468,2024-01-20 12:00:00,16.3
469,2024-01-20 13:00:00,13.6
470,2024-01-20 14:00:00,15.7
471,2024-01-20 15:00:00,22.4
472,2024-01-20 16:00:00,20.0
473,2024-01-20 17:00:00,22.7
474,2024-01-20 18:00:00,25.4
475,2024-01-20 19:00:00,23.8
476,2024-01-20 20:00:00,28.3
477,2024-01-20 21:00:00,33.9
478,2024-01-20 22:00:00,25.8
479,2024-01-20 23:00:00,25.7
480,2024-01-21 00:00:00,24.1
481,2024-01-21 01:00:00,19.8
482,2024-01-21 02:00:00,20.2
483,2024-01-21 03:00:00,26.8
484,2024-01-21 04:00:00,31.7
485,2024-01-21 05:00:00,36.8
486,2024-01-21 06:00:00,35.1
487,2024-01-21 07:00:00,34.3
488,2024-01-21 08:00:00,38.4
489,2024-01-21 09:00:00,33.2
490,2024-01-21 10:00:00,
491,2024-01-21 11:00:00,25.6
492,2024-01-21 12:00:00,23.6
493,2024-01-21 13:00:00,14.1
494,2024-01-21 14:00:00,24.3
495,2024-01-21 15:00:00,23.1
496,2024-01-21 16:00:00,27.8
497,2024-01-21 17:00:00,22.9
498,2024-01-21 18:00:00,26.3
499,2024-01-21 19:00:00,21.5
500,2024-01-21 20:00:00,20.4
501,2024-01-21 21:00:00,25.1
502,2024-01-21 22:00:00,26.4
503,2024-01-21 23:00:00,25.1
504,2024-01-22 00:00:00,21.3
505,2024-01-22 01:00:00,20.4
506,2024-01-22 02:00:00,23.0
507,2024-01-22 03:00:00,28.7
508,2024-01-22 04:00:00,28.9
509,2024-01-22 05:00:00,23.0
510,2024-01-22 06:00:00,21.2
